id;address;longitude;latitude;;;;;;;Сell5|Ch BSIC|Азимут;Сell6|Ch BSIC|Азимут;Дата последнего изменения
1;СПб, г. Кронштадт, дорога на форт Константин;29.702651;59.994675;;;;;;;;;
;;;;;;;;;;;;
2;СПб, г. Кронштадт, западная часть, Южная Кронштадтская дорога;29.69630078044773;60.01151121614396;;;;;;;;;
;;;;;;;;;;;;
3;СПб, г. Кронштадт, пр. Ленина, д. 13;29.765911;59.997595;;;;;;;;;
;;;;;;;;;;;;
4;СПб, г. Кронштадт, Советская ул., д. 35;29.777867;59.994184;;;;;;;;;
;;;;;;;;;;;;
5;СПб, г. Кронштадт, ул. Восстания, д. 3;29.792078;59.992807;;;;;;;;;
;;;;;;;;;;;;
6;СПб, г. Кронштадт, ул. Литке, д. 8;29.726196;60.008491;;;;;;;;;
;;;;;;;;;;;;
7;СПб, г. Кронштадт, ул. Мануильского, д. 20А;29.789033;59.985926;;;;;;;;;
;;;;;;;;;;;;
8;СПб, г. Кронштадт, ул. Сургина, д. 19;29.757933;59.993118;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
